,restaurant_name,avg_rating,special_diets,price_level,cuisines,address,ZIP
32,Pho 33,4.5,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€,"['Vietnamese', 'Asian']","Nussdorfer Strasse 33 Ecke Säulengasse, Vienna 1090 Austria",1090
33,ROLLERCOASTERRestaurant,4.0,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€€-€€€,"['Austrian', 'Diner', 'American']","Riesenradplatz 6/1 Prater, Vienna 1020 Austria",1020
34,Kojiro 2,4.5,"Vegetarian Friendly, Vegan Options",€€-€€€,"['Japanese', 'Sushi', 'Asian']","Kuehnplatz 4, Vienna 1040 Austria",1040
35,Al zaytouna restaurant,4.0,"Vegetarian Friendly, Vegan Options, Halal",€€-€€€,"['Lebanese', 'Middle Eastern', 'Arabic', 'Mediterranean']","Hoernesgasse 17, Vienna 1030 Austria",1030
36,Beim Czaak,4.0,"Vegetarian Friendly, Gluten Free Options",€€-€€€,"['Austrian', 'Central European', 'Healthy']","Postgasse 15 1010 Vienna, Vienna 1010 Austria",1010
37,Cafe Gloriette,3.5,Vegetarian Friendly,€€-€€€,"['Austrian', 'Cafe', 'European']","Gloriette 13 Schlosspark Schoenbrunn, Vienna 1130 Austria",1130
38,Achilleus,3.5,Vegetarian Friendly,€€-€€€,"['Seafood', 'Mediterranean', 'European', 'Greek']","Koellnerhofgasse 3, Vienna 1010 Austria",1010
39,Monte Cristo,4.0,Vegetarian Friendly,€€-€€€,"['Italian', 'Pizza', 'Seafood']","Doeblinger Hauptstrasse 34, Vienna 1190 Austria",1190
40,Brandauer Schlossbrau,4.0,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€€-€€€,"['German', 'European', 'Central European', 'Brew Pub']","Am Platz 5 1130 Wien, Vienna 1130 Austria",1130
41,Brandauer Bierbogen,4.0,Vegetarian Friendly,€€-€€€,"['Austrian', 'Bar', 'Central European', 'European', 'Gastropub']","Heiligenstaedter Strasse 31, Vienna 1190 Austria",1190
42,1019 Jazzclub,4.5,Vegetarian Friendly,€€-€€€,"['American', 'Austrian', 'European']","Althanstrasse 12 1090 Wien, Vienna 1090 Austria",1090
43,Health Kitchen,4.0,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€€-€€€,"['Healthy', 'Fast food', 'International', 'Deli']","Zollergasse 14, Vienna 1070 Austria",1070
44,Seoul,4.0,Vegetarian Friendly,€€-€€€,"['Korean', 'Asian']","Praterstrasse 26, Vienna 1020 Austria",1020
45,Hengl -Haselbrunner,4.0,Vegetarian Friendly,€€-€€€,"['Austrian', 'Central European']","Iglaseegasse 10, Vienna 1190 Austria",1190
46,Ristorante Francesco Grinzing,4.0,Vegetarian Friendly,€€-€€€,"['Italian', 'Pizza', 'Mediterranean', 'European']","Grinzinger Strasse 50-52, Vienna 1190 Austria",1190
47,L'Osteria Florianigasse,3.5,Vegetarian Friendly,€€-€€€,"['Italian', 'Pizza', 'European', 'Mediterranean']","Florianigasse 55, Vienna 1080 Austria",1080
48,Habibi & Hawara,4.0,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€€-€€€,"['Middle Eastern', 'Arabic']","Wipplingerstrasse 29, Vienna 1010 Austria",1010
49,Paul,4.5,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€€-€€€,"['Austrian', 'International', 'European', 'Central European']","Johannesgasse 16, Vienna 1010 Austria",1010
50,Sen Grill Restaurant,4.5,"Vegetarian Friendly, Vegan Options",€,"['Mediterranean', 'Turkish', 'Barbecue', 'Middle Eastern']","Taborstrasse 22, Vienna 1020 Austria",1020
51,Kurkonditorei Oberlaa - Standort Hauptbahnhof,4.0,Vegetarian Friendly,€€-€€€,"['Austrian', 'Cafe', 'European']","Am Hauptbahnhof 1 in BahnhofCity Wien Hauptbahnhof, Vienna 1100 Austria",1100
52,Shabbeskitchen,5.0,"Kosher, Vegetarian Friendly, Vegan Options",€€-€€€,"['Central European', 'Israeli']","Ungargasse 6, Vienna 1030 Austria",1030
53,Bep Viet,4.5,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€,"['Asian', 'Vietnamese', 'Soups']","Favoritenstrasse 2, Vienna 1040 Austria",1040
54,Ramasuri,4.5,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€€-€€€,"['European', 'Central European', 'Contemporary']","Praterstrasse 19, Vienna 1020 Austria",1020
55,Sweet Hell Eissalon,3.5,Vegetarian Friendly,€€-€€€,['Cafe'],"Stadtbahnbogen,186 Döblinger Gürtel, Vienna 1190 Austria",1190
56,Elianto Pizzeria,4.0,"Vegetarian Friendly, Vegan Options",€,"['Italian', 'Pizza']","Ungargasse 48, Vienna 1030 Austria",1030
57,Cafe Raimann,4.0,Vegetarian Friendly,€,"['Austrian', 'Cafe', 'European']","Schoenbrunner Strasse 285, Vienna 1120 Austria",1120
58,Vino Wien,4.0,Vegetarian Friendly,€€-€€€,"['Wine Bar', 'Bar', 'Deli', 'Pub']","Lichtenfelsgasse 3 1010 Wien, Vienna 1010 Austria",1010
59,RIVA Favorita,4.0,"Vegetarian Friendly, Vegan Options",€€-€€€,"['Italian', 'Pizza', 'Mediterranean', 'European', 'Neapolitan', 'Campania', 'Southern-Italian']","Favoritenstrasse 4-6 Ecke Neumanngasse, Vienna 1040 Austria",1040
60,Gasthaus zur Grünen Laterne,4.0,Vegetarian Friendly,€€-€€€,"['German', 'Austrian', 'European']","Paletzgasse 10, Vienna 1160 Austria",1160
61,DiningRuhm,4.5,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€€-€€€,"['Japanese', 'International', 'Asian', 'Fusion']","Lambrechtgasse 9 1040 Vienna, Vienna 1040 Austria",1040
62,Craftmühle by zip's,4.5,Vegetarian Friendly,€€-€€€,"['Bar', 'European', 'Gastropub', 'Pub']","Muehlgasse 20, Vienna 1040 Austria",1040
63,Waldemar Tagesbar,4.5,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€€-€€€,"['European', 'Cafe', 'Central European']","Altgasse 6, Vienna 1130 Austria",1130
64,Blue Mustard,4.0,"Gluten Free Options, Vegetarian Friendly",€€€€,"['International', 'European', 'Contemporary']","Dorotheergasse 6-8, Vienna 1010 Austria",1010
65,Bio Pizzeria Vero,4.5,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€€-€€€,"['Italian', 'Pizza', 'Mediterranean']","Waehringer Guertel 162/2 Ecke Sobieskigasse, Vienna 1090 Austria",1090
66,Pho84,4.0,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€€-€€€,"['Asian', 'Vietnamese']","Neubaugasse 84, Vienna 1070 Austria",1070
67,Cafe Restaurant Denito,4.5,Vegetarian Friendly,€,"['European', 'Central European']","Leonard-Bernstein-Strasse 4-6 Stiege 7/8 Lokal vor Stiege 7, Vienna 1220 Austria",1220
68,Backerei Prindl,3.5,Vegetarian Friendly,€,['Cafe'],"Jaegerstrasse 2, Vienna 1200 Austria",1200
69,Coffee & Friends,4.5,Vegan Options,€,['Cafe'],"Josefstaedter Strasse 7/8, Vienna 1080 Austria",1080
70,Restaurant Zentral,4.0,Vegetarian Friendly,€€-€€€,"['Austrian', 'European']","Simmeringer Hauptstrasse 347, Vienna 1110 Austria",1110
71,PROSI Indian Restaurant,4.0,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€,"['Indian', 'Asian', 'Central Asian']","Kandlgasse 44, Vienna 1070 Austria",1070
72,Krah Krah,4.0,Vegetarian Friendly,€€-€€€,"['German', 'Austrian', 'Bar', 'European', 'Pub', 'Central European']","Rabensteig 8, Vienna 1010 Austria",1010
73,Gasthaus Krippl,4.5,Vegetarian Friendly,€,"['Austrian', 'European']","Mayerhofgasse 18, Vienna 1040 Austria",1040
74,Pizzeria Nikita,3.5,Vegetarian Friendly,€€-€€€,"['Italian', 'European']","Lassallestrasse 42, Vienna 1020 Austria",1020
75,Prater Alm,4.5,Vegetarian Friendly,€€-€€€,"['Austrian', 'German', 'European']","Prater 71b, Vienna 1020 Austria",1020
76,Osteria Mangia e Ridi,4.5,Vegetarian Friendly,€€-€€€,"['Italian', 'Seafood', 'Mediterranean', 'European']","Kurrentgasse 12 Am Judenplatz, Vienna 1010 Austria",1010
77,grace,4.5,"Vegetarian Friendly, Gluten Free Options, Vegan Options",€€€€,"['Central European', 'International', 'European']","Danhausergasse 3 1040 VIenna, Vienna 1040 Austria",1040
78,Chuchú,4.5,Vegetarian Friendly,€€-€€€,"['South American', 'Latin', 'Venezuelan']","Wipplingerstrasse 21, Vienna 1010 Austria",1010
79,Papi's,4.0,Vegetarian Friendly,€€-€€€,"['Latin', 'Spanish']","Kirchberggasse 7, Vienna 1070 Austria",1070
80,Café Francais im Stadtpark,3.5,Vegetarian Friendly,€€-€€€,"['European', 'Central European']","Johannesgasse 33 im Stadtpark, Vienna 1010 Austria",1010
81,Matcha Komachi,4.5,"Vegetarian Friendly, Vegan Options",€€-€€€,"['Japanese', 'Sushi', 'Asian']","Operngasse 26, Vienna 1040 Austria",1040
82,Yachthafen Kuchelau,3.0,Vegetarian Friendly,€€-€€€,"['German', 'European']","Kuchelauer Hafenstrasse 2, Vienna 1190 Austria",1190
84,Pane è Cafe,4.5,Vegetarian Friendly,€,"['Cafe', 'Italian', 'Mediterranean', 'Healthy']","Elisabethstrasse 26 1010 Vienna, Vienna 1010 Austria",1010
85,Bombay,4.0,"Vegetarian Friendly, Vegan Options",€€-€€€,"['Diner', 'Indian', 'Asian', 'Healthy']","Neubaugasse 75 Ecke Neustiftgasse, Vienna 1070 Austria",1070
86,Akakiko,3.5,"Vegetarian Friendly, Vegan Options",€€-€€€,"['Japanese', 'Sushi', 'Asian']","Am Platz 3, Vienna 1130 Austria",1130
87,Cafe Naschsalon,4.5,Vegetarian Friendly,€€-€€€,"['Cafe', 'French', 'Contemporary', 'Soups']","Liechtensteinstrasse 38A 1090 Vienna, Vienna 1090 Austria",1090
88,Ristorante Trimelli,3.5,Vegetarian Friendly,€€-€€€,"['Italian', 'Pizza', 'European', 'Mediterranean']","Landstrasser Hauptstrasse 31, Vienna 1030 Austria",1030
89,Rauch Juice Bar Wien Mitte,4.0,Vegan Options,€,"['Pub', 'Healthy', 'Bar']","Landstrasser Hauptstrasse 1B The Mall, Vienna 1030 Austria",1030
90,Sri Thai imbiss,3.0,Vegetarian Friendly,€€-€€€,"['Asian', 'Thai']","Baumgasse 18, Vienna 1030 Austria",1030
91,Restaurant Rani,3.5,"Vegetarian Friendly, Vegan Options",€€-€€€,['Indian'],"Webgasse 41 Mariahilfer Strasse, Vienna 1060 Austria",1060
92,giuliano 2,4.5,Vegetarian Friendly,€€-€€€,"['Italian', 'Pizza', 'Mediterranean', 'European']","Tendlergasse 3, Vienna 1090 Austria",1090
93,Unkai Japanese Restaurant,4.0,"Vegetarian Friendly, Gluten Free Options, Vegan Options",€€€€,"['Japanese', 'Sushi']","Kaerntner Ring 9 7th floor, Grand Hotel Wien, Vienna 1010 Austria",1010
94,Good Morning Vietnam,4.5,"Vegetarian Friendly, Vegan Options",€€-€€€,"['Vietnamese', 'Asian']","Sechsschimmelgasse 16, Vienna 1090 Austria",1090
95,Pizzeria Il Sole,4.0,Vegetarian Friendly,€€-€€€,"['Italian', 'Pizza', 'European']","Liechtensteinstrasse 96, Vienna 1090 Austria",1090
96,BackWerk,4.0,"Vegetarian Friendly, Vegan Options",€,['Fast food'],"Opernpassage 9, Vienna 1010 Austria",1010
97,Indien Village,4.5,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",€€-€€€,"['Indian', 'Asian']","Rockhgasse 3, Vienna 1010 Austria",1010
98,Nino's Restaurant,4.0,Vegetarian Friendly,€€-€€€,"['Italian', 'Pizza', 'European']","Himmelstrasse 2 Grinzing, Vienna 1190 Austria",1190
99,Fresh Soup and Salad,4.0,"Vegetarian Friendly, Vegan Options",€,"['International', 'Soups']","Wipplingerstrasse 1, Vienna 1010 Austria",1010
100,Kulturzentrum & Cafe 7*Stern,3.0,"Vegetarian Friendly, Vegan Options",€€-€€€,"['Cafe', 'European']","Siebensterngasse 31, Vienna 1070 Austria",1070
101,Rinderwahn,4.0,"Vegetarian Friendly, Gluten Free Options",€€-€€€,"['American', 'Bar', 'European']","Weihburggasse 3, Vienna 1010 Austria",1010
102,Indus,4.0,"Vegetarian Friendly, Vegan Options",€€-€€€,"['Indian', 'Asian', 'Pakistani']","Radetzkystrasse 20, Vienna 1030 Austria",1030
103,Yohm,4.0,"Vegetarian Friendly, Vegan Options",€€€€,"['Japanese', 'Sushi', 'Asian']","Petersplatz 3 1010 Vienna, Vienna 1010 Austria",1010
105,Damla Backshop,4.0,Vegetarian Friendly,€,"['Turkish', 'European', 'Middle Eastern']","Wilhelm Straße 53 Wilhelm Straße 53, Meidling Bahnhof, Vienna 1120 Austria",1120
106,Taverne Sokrates,3.5,Vegetarian Friendly,€€-€€€,"['Mediterranean', 'Greek']","Sunken City Donauinsel, Vienna 1220 Austria",1220
107,Hacienda Ephemer,4.5,Vegetarian Friendly,€€-€€€,['Mexican'],"Jaegerstrasse 28, Vienna 1200 Austria",1200
108,Backerei Der Mann,4.5,Vegetarian Friendly,€€-€€€,"['Austrian', 'Cafe', 'European']","Helmut-Zilk-Park Parkpavillon 1, Vienna 1100 Austria",1100
109,Japanese Restaurant Hidori,4.0,Vegetarian Friendly,€€-€€€,"['Japanese', 'Sushi', 'Asian', 'Healthy', 'Seafood']","Burggasse 89, Vienna 1070 Austria",1070
110,Pasta e Basta,4.0,Vegetarian Friendly,€€-€€€,"['Italian', 'Mediterranean', 'European']","Werdertorgasse 10, Vienna 1010 Austria",1010
111,Caffe Pizzeria Pino,4.5,Vegetarian Friendly,€€-€€€,"['Italian', 'European']","47, Lassallestrasse 45, Vienna 1020 Austria",1020
112,Das Schick,4.5,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€€€€,"['European', 'Austrian', 'Mediterranean', 'Fusion', 'Central European']","Parkring 12 Im Hotel Am Parkring, Vienna 1010 Austria",1010
113,Dong Nai,4.0,Vegetarian Friendly,€,"['Asian', 'Vietnamese']","Franz-Josefs-Kai 31, 1010 Wien, Vienna 1010 Austria",1010
114,Léontine,4.5,Vegetarian Friendly,€€-€€€,"['French', 'Austrian', 'European']","Reisnerstrasse 39, Vienna 1030 Austria",1030
115,Pinocchio Pizza,4.5,"Vegetarian Friendly, Vegan Options",€,"['Italian', 'Pizza']","Neustiftgasse 25, Vienna 1070 Austria",1070
116,Le Burger,4.5,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€€-€€€,"['American', 'Fast food']","Mariahilfer Strasse 114 1070 Wien, Vienna 1070 Austria",1070
117,Thalassa,4.5,Vegetarian Friendly,€€-€€€,"['Greek', 'Mediterranean']","Vorgartenstrasse 217, Vienna 1020 Austria",1020
118,Kojiro 3,4.0,"Vegetarian Friendly, Vegan Options",€€-€€€,"['Japanese', 'Sushi', 'Asian']","Rechte Wienzeile 25-27, Vienna 1040 Austria",1040
119,Akakiko,4.0,"Vegetarian Friendly, Vegan Options",€€-€€€,"['Japanese', 'Sushi', 'Asian', 'Thai']","Julius-Tandler-Platz 4, Vienna 1090 Austria",1090
120,Schanzen Wirt,3.5,Vegetarian Friendly,€€-€€€,"['Austrian', 'European']","An den alten Schanzen 51, Vienna 1220 Austria",1220
121,Kleines Cafe,4.0,Vegetarian Friendly,€,"['Austrian', 'Cafe', 'European']","Franziskanerplatz 3, Vienna 1010 Austria",1010
122,Wirr am Brunnenmarkt,2.5,Vegetarian Friendly,€€-€€€,['German'],"Brunnenmarkt Stand 157, Vienna 1160 Austria",1160
123,Süd Länder,4.5,Vegetarian Friendly,€€-€€€,"['Bar', 'European', 'Central European', 'Austrian', 'Pub']","Rilkepl. 7, Vienna 1040 Austria",1040
124,Zur Bohmischen Kuchl,4.5,Vegetarian Friendly,€€-€€€,"['European', 'Czech', 'Central European']","Schloesselgasse 18, Vienna 1080 Austria",1080
125,Bitzinger - Wurstelstand bei der Albertina,3.5,Vegetarian Friendly,€€-€€€,"['Austrian', 'European']","Augustinerstrasse 1, Vienna 1010 Austria",1010
126,L. Heiner,4.5,Vegetarian Friendly,€€-€€€,['Cafe'],"Wollzeile 9, Vienna 1010 Austria",1010
127,Asia Restaurant Jin,4.5,Vegetarian Friendly,€,"['Asian', 'Chinese']","Hernalser Guertel 45, Vienna 1170 Austria",1170
128,Curry N Masala,4.0,"Vegetarian Friendly, Vegan Options, Gluten Free Options, Halal",€€-€€€,"['Indian', 'Asian', 'Pakistani']","Landstrasser Hauptstrasse 2/7 Stadtpark 1, Vienna 1030 Austria",1030
129,Das Assmayer,4.5,Vegetarian Friendly,€,"['Austrian', 'European']","Klaehrgasse 3, Vienna 1120 Austria",1120
130,Saigon,4.0,"Vegetarian Friendly, Vegan Options",€€-€€€,"['Vietnamese', 'Asian']","Neulerchenfelder Strasse 37, Vienna 1160 Austria",1160
131,Creperie Mirabelle,2.0,Gluten Free Options,€,['French'],"Floridsdorfer Markt Stand 53-54 Schlingermarkt, Vienna 1210 Austria",1210
132,Pizzeria Il Momento,4.0,Vegetarian Friendly,€€-€€€,"['International', 'Italian', 'Austrian', 'European']","Schoenbrunner Strasse 209 Langenfeldgasse 4, Vienna 1120 Austria",1120
133,Café Leopold,3.5,"Vegetarian Friendly, Gluten Free Options, Vegan Options",€€-€€€,['Austrian'],"Museumsplatz 1, Vienna 1070 Austria",1070
134,Schachtelwirt,4.5,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€,"['Austrian', 'Fast food', 'European', 'Central European']","Judengasse 5, Vienna 1010 Austria",1010
135,MQ Kantine,3.5,"Vegetarian Friendly, Vegan Options",€€-€€€,['Central European'],"Museumplatz 1 Museumsquartier, Vienna 1070 Austria",1070
136,Curry Express,4.5,"Vegetarian Friendly, Vegan Options",€,"['Indian', 'Asian']","Mariahilfer Strasse 91, Vienna 1060 Austria",1060
137,Restaurant Uno,3.5,Vegetarian Friendly,€€-€€€,"['International', 'European']","Wagramer Strasse 8, Vienna 1220 Austria",1220
138,Zu Ebener Erde Und Erster Stock,4.5,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€€-€€€,"['Austrian', 'European', 'Central European']","Burggasse 13 Am Spittelberg, Vienna 1070 Austria",1070
139,Collio,4.5,Vegetarian Friendly,€€€€,"['Austrian', 'European', 'Central European']","Wiedner Hauptstrasse 12, Vienna 1040 Austria",1040
140,Restaurant Grune Bar,4.5,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€€€€,"['Austrian', 'International', 'European', 'Central European']","Philharmonikerstrasse 4, Vienna 1010 Austria",1010
141,Esterhazykeller,3.5,Vegetarian Friendly,€€-€€€,"['German', 'Austrian', 'European', 'Central European']","Haarhof 1, Vienna 1010 Austria",1010
142,Melker Stiftskeller,4.5,"Vegetarian Friendly, Gluten Free Options",€€-€€€,"['Gastropub', 'German', 'Austrian', 'European', 'Central European']","Schottengasse 3, Vienna 1010 Austria",1010
143,Das Schreiberhaus,3.5,Vegetarian Friendly,€€-€€€,"['European', 'Austrian']","Rathstrasse 54, Vienna 1190 Austria",1190
144,Zum Finsteren Stern,4.0,Vegetarian Friendly,€€-€€€,"['European', 'Central European']","Schulhof 8, Vienna 1010 Austria",1010
145,Abend-Restaurant Feuervogel,4.0,Vegetarian Friendly,€€-€€€,['Russian'],"Alserbachstrasse 21, Vienna 1090 Austria",1090
146,Altes Jagerhaus,3.5,Vegetarian Friendly,€€-€€€,"['Austrian', 'European', 'Central European']","Freudenau 255, Vienna 1020 Austria",1020
147,Babette's - Spice & Books for Cooks,4.5,Vegetarian Friendly,€€-€€€,"['Cafe', 'International', 'Diner', 'Soups']","Am Hof 13, Vienna 1010 Austria",1010
148,Ristorante Firenze Enoteca,4.0,"Vegetarian Friendly, Vegan Options",€€-€€€,"['Italian', 'Mediterranean', 'European', 'Tuscan', 'Central-Italian', 'Grill']","Singerstrasse 3 1010 Wien, Vienna 1010 Austria",1010
149,Gergely's,4.5,Vegetarian Friendly,€€€€,"['Steakhouse', 'Barbecue', 'European', 'Grill']","Schlossgasse 21 1050 Vienna, Vienna 1050 Austria",1050
150,Kardos Vienna,4.0,"Vegetarian Friendly, Vegan Options, Gluten Free Options",€€-€€€,"['Austrian', 'European', 'Eastern European', 'Central European', 'Hungarian']","Dominikanerbastei 8, Vienna 1010 Austria",1010
151,Kern Beisl,4.0,Vegetarian Friendly,€€-€€€,"['Austrian', 'European', 'Central European']","Kleeblattgasse 4 Ecke Tuchlauben, Vienna 1010 Austria",1010
152,Restaurant Ofenloch,4.5,"Vegetarian Friendly, Gluten Free Options",€€-€€€,"['German', 'Austrian', 'European', 'Central European', 'Gastropub']","Kurrentgasse 8, Vienna 1010 Austria",1010
153,Restaurant Salzamt,4.5,"Vegetarian Friendly, Gluten Free Options",€€-€€€,"['German', 'Austrian', 'European', 'Central European']","Ruprechtsplatz 1, Vienna 1010 Austria",1010
154,Silberwirt,4.0,"Vegetarian Friendly, Gluten Free Options",€€-€€€,"['German', 'Austrian', 'European', 'Central European']","Schlossgasse 21, Vienna 1050 Austria",1050
155,Beograd,3.5,Vegetarian Friendly,€€-€€€,"['Central European', 'European', 'Eastern European']","Schikanedergasse 7, Vienna 1040 Austria",1040
156,Danieli,4.0,"Vegetarian Friendly, Vegan Options",€€-€€€,"['Italian', 'Mediterranean', 'European']","Himmelpfortgasse 3, Vienna 1010 Austria",1010
157,Maschu Maschu,4.0,"Vegetarian Friendly, Vegan Options",€,"['Mediterranean', 'Fast food', 'Middle Eastern', 'Israeli']","Rabensteig 8, Vienna 1010 Austria",1010
158,An-Do,4.0,"Vegetarian Friendly, Vegan Options",€€-€€€,"['Mediterranean', 'European']","Brunnemarkt Stand 169, Vienna 1160 Austria",1160
159,Hebenstreit,4.5,Vegetarian Friendly,€€-€€€,"['Austrian', 'Mediterranean', 'European', 'Central European']","Rockhgasse 1, Vienna 1010 Austria",1010
160,Feuerwehr Wagner,4.0,Vegetarian Friendly,€€-€€€,"['German', 'Wine Bar', 'Gastropub', 'Eastern European', 'Austrian']","Grinzinger Strasse 53, Vienna 1190 Austria",1190
161,Podium,4.0,"Vegetarian Friendly, Vegan Options",€,['European'],"Westbahnstrasse 33, Vienna 1070 Austria",1070
162,Kebab Haus,3.5,Vegetarian Friendly,€,"['Turkish', 'Middle Eastern']","Operngasse 26, Vienna 1040 Austria",1040
